2026-05-29 21:02:36,915 | analisis_pipeline | INFO | [2222_audio1] STT: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedu"
2026-05-29 21:03:08,008 | analisis_pipeline | INFO | [2222_audio1] LLM: "Tentu, saya bisa bantu carikan jadwalnya. Tolong infokan tan"
2026-05-29 21:03:27,598 | analisis_pipeline | INFO | [2222_audio1] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/data/corpus/audio/response_2222_audio1.wav
2026-05-29 21:04:10,065 | analisis_pipeline | INFO | [2222_audio10] STT: "Apa perbedaan umrah dan hajj secara detail dalam Islam?"
2026-05-29 21:04:31,469 | analisis_pipeline | INFO | [2222_audio10] LLM: "Haji adalah ibadah wajib pada waktu tertentu (bulan Dzulhijj"
2026-05-29 21:04:39,264 | analisis_pipeline | INFO | [2222_audio10] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/data/corpus/audio/response_2222_audio10.wav
2026-05-29 21:16:02,927 | analisis_pipeline | INFO | [2222_audio1] STT: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedu"
2026-05-29 21:16:12,726 | analisis_pipeline | INFO | [2222_audio1] LLM: "Tentu, saya bisa bantu atur jadwalnya. Mohon informasikan ta"
2026-05-29 21:16:27,228 | analisis_pipeline | INFO | [2222_audio1] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio1.wav
2026-05-29 21:16:56,395 | analisis_pipeline | INFO | [2222_audio2] STT: "Aku butuh travel umrah simple tapi include marina visit."
2026-05-29 21:17:16,709 | analisis_pipeline | INFO | [2222_audio2] LLM: "You should look for "Umrah Reguler" packages that specifical"
2026-05-29 21:18:11,695 | analisis_pipeline | INFO | [2222_audio2] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio2.wav
2026-05-29 21:18:41,855 | analisis_pipeline | INFO | [2222_audio3] STT: "Can you help aku arrange transport dari Judah ke Madinah tom"
2026-05-29 21:18:58,197 | analisis_pipeline | INFO | [2222_audio3] LLM: "I can certainly help you with that. You can book a private c"
2026-05-29 21:19:15,102 | analisis_pipeline | INFO | [2222_audio3] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio3.wav
2026-05-29 21:19:44,679 | analisis_pipeline | INFO | [2222_audio4] STT: "Explain step by step cara apply visas OD dengan benar."
2026-05-29 21:20:03,537 | analisis_pipeline | INFO | [2222_audio4] LLM: "First, register via the Nusuk platform or a licensed travel "
2026-05-29 21:20:38,228 | analisis_pipeline | INFO | [2222_audio4] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio4.wav
2026-05-29 21:21:11,563 | analisis_pipeline | INFO | [2222_audio5] STT: "Ya akhi, uridu bookflag ilah Jeddah al-Rasbun al-Qadim, hal "
2026-05-29 21:21:44,432 | analisis_pipeline | INFO | [2222_audio5] LLM: "Role: Friendly Umrah and Hajj travel assistant.
Language Pro"
2026-05-29 21:23:06,051 | analisis_pipeline | INFO | [2222_audio5] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio5.wav
2026-05-29 21:23:39,614 | analisis_pipeline | INFO | [2222_audio6] STT: "Uri dulu range transport menjedah ilah Madinah Waddan."
2026-05-29 21:24:04,371 | analisis_pipeline | INFO | [2222_audio6] LLM: "You can take the Haramain High Speed Railway for around SAR "
2026-05-29 21:24:38,973 | analisis_pipeline | INFO | [2222_audio6] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio6.wav
2026-05-29 21:25:11,810 | analisis_pipeline | INFO | [2222_audio7] STT: "Book flight ke Jeddah lalu lanjut ke Madinah, schedule terba"
2026-05-29 21:25:36,739 | analisis_pipeline | INFO | [2222_audio7] LLM: "Pilihlah jadwal penerbangan yang tiba di Jeddah pada pagi ha"
2026-05-29 21:25:40,652 | analisis_pipeline | INFO | [2222_audio7] TTS: /home/azani/Kuliah/semester_6/nlp/prak/uas/voice-cs-system/results/tts_output/response_2222_audio7.wav
2026-05-29 21:26:09,611 | analisis_pipeline | INFO | [2222_audio10] STT: "Apa perbedaan umrah dan hajj secara detail dalam Islam?"
2026-05-29 21:26:27,729 | analisis_pipeline | INFO | [2222_audio10] LLM: "Haji wajib dilaksanakan pada waktu tertentu di bulan Dzulhij"
