2026-05-27 22:49:47,304 | preprocess | INFO | Audio diproses: 2222_audio1.wav
2026-05-27 22:50:04,936 | preprocess | INFO | Audio diproses: 2222_audio2.wav
2026-05-27 22:50:22,272 | preprocess | INFO | Audio diproses: 2222_audio3.wav
2026-05-27 22:50:39,743 | preprocess | INFO | Audio diproses: 2222_audio4.wav
2026-05-27 22:50:57,270 | preprocess | INFO | Audio diproses: 2222_audio5.wav
2026-05-27 22:51:17,301 | preprocess | INFO | Audio diproses: 2222_audio6.wav
2026-05-27 22:51:35,137 | preprocess | INFO | Audio diproses: 2222_audio7.wav
2026-05-27 22:51:53,431 | preprocess | INFO | Audio diproses: 2222_audio10.wav
2026-05-27 22:52:11,159 | preprocess | INFO | Audio diproses: 2222_audio12.wav
2026-05-27 22:52:28,912 | preprocess | INFO | Audio diproses: 2222_audio14.wav
2026-05-27 22:52:46,396 | preprocess | INFO | Audio diproses: 2301_audio1.wav
2026-05-27 22:53:04,197 | preprocess | INFO | Audio diproses: 2301_audio2.wav
2026-05-27 22:53:21,960 | preprocess | INFO | Audio diproses: 2301_audio3.wav
2026-05-27 22:53:39,658 | preprocess | INFO | Audio diproses: 2301_audio4.wav
2026-05-27 22:53:57,287 | preprocess | INFO | Audio diproses: 2301_audio5.wav
2026-05-27 22:54:16,932 | preprocess | INFO | Audio diproses: 2301_audio6.wav
2026-05-27 22:54:34,727 | preprocess | INFO | Audio diproses: 2301_audio11.wav
2026-05-27 22:54:52,509 | preprocess | INFO | Audio diproses: 2301_audio12.wav
2026-05-27 22:55:10,335 | preprocess | INFO | Audio diproses: 2301_audio14.wav
2026-05-27 22:55:28,124 | preprocess | INFO | Audio diproses: 2301_audio15.wav
2026-05-27 22:55:46,415 | preprocess | INFO | Audio diproses: 2302_audio01.wav
2026-05-27 22:56:04,436 | preprocess | INFO | Audio diproses: 2302_audio02.wav
2026-05-27 22:56:22,479 | preprocess | INFO | Audio diproses: 2302_audio03.wav
2026-05-27 22:56:40,270 | preprocess | INFO | Audio diproses: 2302_audio04.wav
2026-05-27 22:56:58,041 | preprocess | INFO | Audio diproses: 2302_audio05.wav
2026-05-27 22:57:17,973 | preprocess | INFO | Audio diproses: 2302_audio06.wav
2026-05-27 22:57:35,778 | preprocess | INFO | Audio diproses: 2302_audio11.wav
2026-05-27 22:57:53,574 | preprocess | INFO | Audio diproses: 2302_audio14.wav
2026-05-27 22:58:11,320 | preprocess | INFO | Audio diproses: 2302_audio15.wav
2026-05-27 22:58:29,721 | preprocess | INFO | Audio diproses: 2302_audio17.wav
2026-05-27 22:58:47,999 | preprocess | INFO | Audio diproses: 2303_audio01.wav
2026-05-27 22:59:06,248 | preprocess | INFO | Audio diproses: 2303_audio02.wav
2026-05-27 22:59:24,209 | preprocess | INFO | Audio diproses: 2303_audio03.wav
2026-05-27 22:59:42,079 | preprocess | INFO | Audio diproses: 2303_audio04.wav
2026-05-27 23:00:00,025 | preprocess | INFO | Audio diproses: 2303_audio05.wav
2026-05-27 23:00:20,653 | preprocess | INFO | Audio diproses: 2303_audio06.wav
2026-05-27 23:00:38,804 | preprocess | INFO | Audio diproses: 2303_audio07.wav
2026-05-27 23:00:57,541 | preprocess | INFO | Audio diproses: 2303_audio13.wav
2026-05-27 23:01:15,699 | preprocess | INFO | Audio diproses: 2303_audio15.wav
2026-05-27 23:01:34,361 | preprocess | INFO | Audio diproses: 2303_audio19.wav
2026-05-27 23:01:52,241 | preprocess | INFO | Audio diproses: 2304_audio01.wav
2026-05-27 23:02:10,406 | preprocess | INFO | Audio diproses: 2304_audio02.wav
2026-05-27 23:02:28,106 | preprocess | INFO | Audio diproses: 2304_audio03.wav
2026-05-27 23:02:45,917 | preprocess | INFO | Audio diproses: 2304_audio04.wav
2026-05-27 23:03:03,648 | preprocess | INFO | Audio diproses: 2304_audio05.wav
2026-05-27 23:03:23,742 | preprocess | INFO | Audio diproses: 2304_audio06.wav
2026-05-27 23:03:41,644 | preprocess | INFO | Audio diproses: 2304_audio07.wav
2026-05-27 23:03:59,802 | preprocess | INFO | Audio diproses: 2304_audio11.wav
2026-05-27 23:04:17,565 | preprocess | INFO | Audio diproses: 2304_audio15.wav
2026-05-27 23:04:35,852 | preprocess | INFO | Audio diproses: 2304_audio18.wav
2026-05-27 23:04:53,836 | preprocess | INFO | Audio diproses: 2306_Audio01.wav
2026-05-27 23:05:11,962 | preprocess | INFO | Audio diproses: 2306_Audio02.wav
2026-05-27 23:05:29,980 | preprocess | INFO | Audio diproses: 2306_Audio03.wav
2026-05-27 23:05:47,827 | preprocess | INFO | Audio diproses: 2306_Audio04.wav
2026-05-27 23:06:05,602 | preprocess | INFO | Audio diproses: 2306_Audio05.wav
2026-05-27 23:06:25,442 | preprocess | INFO | Audio diproses: 2306_Audio06.wav
2026-05-27 23:06:43,433 | preprocess | INFO | Audio diproses: 2306_Audio11.wav
2026-05-27 23:07:01,257 | preprocess | INFO | Audio diproses: 2306_Audio12.wav
2026-05-27 23:07:19,030 | preprocess | INFO | Audio diproses: 2306_Audio13.wav
2026-05-27 23:07:37,173 | preprocess | INFO | Audio diproses: 2306_Audio14.wav
2026-05-27 23:07:54,908 | preprocess | INFO | Audio diproses: 2306_Audio15.wav
2026-05-27 23:08:13,422 | preprocess | INFO | Audio diproses: 2307_audio01.wav
2026-05-27 23:08:31,807 | preprocess | INFO | Audio diproses: 2307_audio02.wav
2026-05-27 23:08:49,978 | preprocess | INFO | Audio diproses: 2307_audio03.wav
2026-05-27 23:09:08,524 | preprocess | INFO | Audio diproses: 2307_audio04.wav
2026-05-27 23:09:26,533 | preprocess | INFO | Audio diproses: 2307_audio05.wav
2026-05-27 23:09:46,864 | preprocess | INFO | Audio diproses: 2307_audio06.wav
2026-05-27 23:10:05,671 | preprocess | INFO | Audio diproses: 2307_audio07.wav
2026-05-27 23:10:24,968 | preprocess | INFO | Audio diproses: 2307_audio10.wav
2026-05-27 23:10:43,105 | preprocess | INFO | Audio diproses: 2307_audio15.wav
2026-05-27 23:11:01,679 | preprocess | INFO | Audio diproses: 2307_audio17.wav
2026-05-27 23:11:20,022 | preprocess | INFO | Audio diproses: 2308_audio01.wav
2026-05-27 23:11:38,208 | preprocess | INFO | Audio diproses: 2308_audio02.wav
2026-05-27 23:11:56,094 | preprocess | INFO | Audio diproses: 2308_audio03.wav
2026-05-27 23:12:13,874 | preprocess | INFO | Audio diproses: 2308_audio04.wav
2026-05-27 23:12:31,593 | preprocess | INFO | Audio diproses: 2308_audio05.wav
2026-05-27 23:12:51,762 | preprocess | INFO | Audio diproses: 2308_audio06.wav
2026-05-27 23:13:09,860 | preprocess | INFO | Audio diproses: 2308_audio12.wav
2026-05-27 23:13:27,764 | preprocess | INFO | Audio diproses: 2308_audio13.wav
2026-05-27 23:13:45,756 | preprocess | INFO | Audio diproses: 2308_audio15.wav
2026-05-27 23:14:04,111 | preprocess | INFO | Audio diproses: 2308_audio17.wav
2026-05-27 23:14:22,314 | preprocess | INFO | Audio diproses: 2309_audio01.wav
2026-05-27 23:14:40,408 | preprocess | INFO | Audio diproses: 2309_audio02.wav
2026-05-27 23:14:58,533 | preprocess | INFO | Audio diproses: 2309_audio03.wav
2026-05-27 23:15:16,808 | preprocess | INFO | Audio diproses: 2309_audio04.wav
2026-05-27 23:15:34,799 | preprocess | INFO | Audio diproses: 2309_audio05.wav
2026-05-27 23:15:55,397 | preprocess | INFO | Audio diproses: 2309_audio06.wav
2026-05-27 23:16:13,290 | preprocess | INFO | Audio diproses: 2309_audio08.wav
2026-05-27 23:16:31,528 | preprocess | INFO | Audio diproses: 2309_audio12.wav
