2026-05-28 15:59:28,744 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 15:59:28,749 | text_processor | INFO | Manifest disimpan: 2030_audio01.json
2026-05-28 15:59:28,749 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 15:59:28,749 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 15:59:28,750 | text_processor | INFO | Manifest disimpan: 2030_audio02.json
2026-05-28 15:59:28,750 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 15:59:28,751 | text_processor | INFO | Input: "Can you help aku arrange transport dari Jeddah ke Madinah tomorrow"
2026-05-28 15:59:28,752 | text_processor | INFO | Manifest disimpan: 2030_audio03.json
2026-05-28 15:59:28,752 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=8
2026-05-28 15:59:28,752 | text_processor | INFO | Input: "Explain step by step cara apply visa Saudi dengan benar"
2026-05-28 15:59:28,753 | text_processor | INFO | Manifest disimpan: 2030_audio04.json
2026-05-28 15:59:28,753 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=5
2026-05-28 15:59:28,754 | text_processor | INFO | Input: "يَا أَخِي أُرِيدُ book flight إِلَى Jeddah هَلْ bisa bantu"
2026-05-28 15:59:28,754 | text_processor | INFO | Manifest disimpan: 2030_audio05.json
2026-05-28 15:59:28,755 | text_processor | INFO | dominant=AR detected=['AR', 'EN', 'ID'] segments=4
2026-05-28 15:59:28,755 | text_processor | INFO | Input: "أُرِيدُ arrange transport مِنْ Jeddah إِلَى Madinah غَدًا"
2026-05-28 15:59:28,756 | text_processor | INFO | Manifest disimpan: 2030_audio06.json
2026-05-28 15:59:28,756 | text_processor | INFO | dominant=AR detected=['AR', 'EN'] segments=3
2026-05-28 15:59:28,756 | text_processor | INFO | Input: "Book flight ke Jeddah lalu lanjut ke Madinah schedule terbaik kapan"
2026-05-28 15:59:28,757 | text_processor | INFO | Manifest disimpan: 2030_audio07.json
2026-05-28 15:59:28,758 | text_processor | INFO | dominant=ID detected=['EN', 'ID', 'AR'] segments=7
2026-05-28 15:59:28,758 | text_processor | INFO | Input: "اريد schedule trip dari Jeddah ke Makkah besok pagi"
2026-05-28 15:59:28,759 | text_processor | INFO | Manifest disimpan: 2030_audio08.json
2026-05-28 15:59:28,759 | text_processor | INFO | dominant=ID detected=['AR', 'EN', 'ID'] segments=7
2026-05-28 15:59:28,760 | text_processor | INFO | Input: "ممكن book transport dari Makkah ke Madinah untuk besok"
2026-05-28 15:59:28,761 | text_processor | INFO | Manifest disimpan: 2030_audio09.json
2026-05-28 15:59:28,761 | text_processor | INFO | dominant=ID detected=['AR', 'EN', 'ID'] segments=7
2026-05-28 15:59:28,761 | text_processor | INFO | Input: "Apa perbedaan umrah dan hajj secara detail dalam Islam"
2026-05-28 15:59:28,762 | text_processor | INFO | Manifest disimpan: 2030_audio10.json
2026-05-28 15:59:28,762 | text_processor | INFO | dominant=ID detected=['ID', 'AR'] segments=5
2026-05-28 15:59:28,763 | text_processor | INFO | Input: "Kenapa fasting di رمضان itu wajib bagi Muslim"
2026-05-28 15:59:28,764 | text_processor | INFO | Manifest disimpan: 2030_audio11.json
2026-05-28 15:59:28,765 | text_processor | INFO | dominant=ID detected=['ID', 'AR'] segments=3
2026-05-28 15:59:28,765 | text_processor | INFO | Input: "Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang"
2026-05-28 15:59:28,766 | text_processor | INFO | Manifest disimpan: 2030_audio12.json
2026-05-28 15:59:28,766 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 15:59:28,766 | text_processor | INFO | Input: "Jelaskan step by step cara booking flight ke Jeddah secara online"
2026-05-28 15:59:28,767 | text_processor | INFO | Manifest disimpan: 2030_audio13.json
2026-05-28 15:59:28,767 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 15:59:28,768 | text_processor | INFO | Input: "How to prepare dokumen umrah dari Indonesia dengan benar"
2026-05-28 15:59:28,768 | text_processor | INFO | Manifest disimpan: 2030_audio14.json
2026-05-28 15:59:28,769 | text_processor | INFO | dominant=EN detected=['EN', 'AR', 'ID'] segments=3
2026-05-28 15:59:28,769 | text_processor | INFO | Input: "Tolong buat checklist persiapan umrah termasuk barang wajib dibawa"
2026-05-28 15:59:28,769 | text_processor | INFO | Manifest disimpan: 2030_audio15.json
2026-05-28 15:59:28,770 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=5
2026-05-28 15:59:28,770 | text_processor | INFO | Input: "Guide aku cara pilih hotel di Makkah dekat Haram dengan budget terbatas"
2026-05-28 15:59:28,770 | text_processor | INFO | Manifest disimpan: 2030_audio16.json
2026-05-28 15:59:28,771 | text_processor | INFO | dominant=ID detected=['EN', 'ID', 'AR'] segments=9
2026-05-28 15:59:28,771 | text_processor | INFO | Input: "Menurut kamu belajar bahasa Arab itu susah gak untuk pemula"
2026-05-28 15:59:28,771 | text_processor | INFO | Manifest disimpan: 2030_audio17.json
2026-05-28 15:59:28,771 | text_processor | INFO | dominant=ID detected=['ID'] segments=1
2026-05-28 15:59:28,771 | text_processor | INFO | Input: "I feel overwhelmed dengan persiapan umrah ada tips sederhana"
2026-05-28 15:59:28,772 | text_processor | INFO | Manifest disimpan: 2030_audio18.json
2026-05-28 15:59:28,772 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=5
2026-05-28 15:59:28,772 | text_processor | INFO | Input: "احيانا saya bingung mulai dari mana untuk umrah"
2026-05-28 15:59:28,773 | text_processor | INFO | Manifest disimpan: 2030_audio19.json
2026-05-28 15:59:28,773 | text_processor | INFO | dominant=ID detected=['AR', 'ID'] segments=3
2026-05-28 15:59:28,773 | text_processor | INFO | Input: "Translate ke English aku mau pergi ke Makkah minggu depan"
2026-05-28 15:59:28,773 | text_processor | INFO | Manifest disimpan: 2030_audio20.json
2026-05-28 15:59:28,773 | text_processor | INFO | dominant=ID detected=['EN', 'ID', 'AR'] segments=4
2026-05-28 16:05:27,404 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:05:27,404 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:05:32,226 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:05:32,226 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:05:37,163 | text_processor | INFO | Input: "Can you help aku arrange transport dari Jeddah ke Madinah tomorrow"
2026-05-28 16:05:37,164 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=8
2026-05-28 16:10:28,786 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:10:28,786 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:10:33,586 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:10:33,586 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:10:53,927 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:10:53,927 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:11:03,818 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:11:03,818 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:11:08,527 | text_processor | INFO | Input: "Can you help aku arrange transport dari Jeddah ke Madinah tomorrow"
2026-05-28 16:11:08,527 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=8
2026-05-28 16:13:21,389 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:13:21,390 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:13:55,745 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:13:55,745 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:19:49,525 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:19:49,526 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:21:00,918 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:21:00,919 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:21:07,249 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:21:07,249 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:21:13,301 | text_processor | INFO | Input: "Can you help aku arrange transport dari Jeddah ke Madinah tomorrow"
2026-05-28 16:21:13,301 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=8
2026-05-28 16:21:21,093 | text_processor | INFO | Input: "Explain step by step cara apply visa Saudi dengan benar"
2026-05-28 16:21:21,093 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=5
2026-05-28 16:21:27,540 | text_processor | INFO | Input: "يَا أَخِي أُرِيدُ book flight إِلَى Jeddah هَلْ bisa bantu"
2026-05-28 16:21:27,540 | text_processor | INFO | dominant=AR detected=['AR', 'EN', 'ID'] segments=4
2026-05-28 16:21:36,962 | text_processor | INFO | Input: "Apa perbedaan umrah dan hajj secara detail dalam Islam"
2026-05-28 16:21:36,962 | text_processor | INFO | dominant=ID detected=['ID', 'AR'] segments=5
2026-05-28 16:22:31,221 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:22:31,222 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:22:46,600 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:22:46,601 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:22:58,043 | text_processor | INFO | Input: "Can you help aku arrange transport dari Jeddah ke Madinah tomorrow"
2026-05-28 16:22:58,043 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=8
2026-05-28 16:23:07,485 | text_processor | INFO | Input: "Explain step by step cara apply visa Saudi dengan benar"
2026-05-28 16:23:07,485 | text_processor | INFO | dominant=EN detected=['EN', 'ID', 'AR'] segments=5
2026-05-28 16:23:18,339 | text_processor | INFO | Input: "يَا أَخِي أُرِيدُ book flight إِلَى Jeddah هَلْ bisa bantu"
2026-05-28 16:23:18,339 | text_processor | INFO | dominant=AR detected=['AR', 'EN', 'ID'] segments=4
2026-05-28 16:24:34,706 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:24:34,707 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:24:44,972 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:24:44,972 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:27:48,583 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:27:48,584 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:27:58,646 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:27:58,647 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:30:27,435 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:30:27,436 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:30:58,447 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:30:58,448 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:31:25,565 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:31:25,566 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:33:04,623 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:33:04,624 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:33:23,228 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:33:23,228 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:33:48,087 | text_processor | INFO | Input: "Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?"
2026-05-28 16:33:48,088 | text_processor | INFO | dominant=ID detected=['ID', 'EN', 'AR'] segments=6
2026-05-28 16:34:01,452 | text_processor | INFO | Input: "Aku butuh travel umrah simple tapi include Madinah visit"
2026-05-28 16:34:01,452 | text_processor | INFO | dominant=EN detected=['ID', 'EN', 'AR'] segments=8
2026-05-28 16:58:11,046 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-28 16:58:11,047 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-28 16:59:38,092 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-28 16:59:38,093 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-28 18:05:33,031 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-28 18:05:33,032 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-28 20:40:32,599 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-28 20:40:32,599 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-28 20:46:36,337 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-28 20:46:36,337 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-28 22:55:29,901 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-28 22:55:29,901 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-28 22:59:01,454 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-28 22:59:01,454 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-28 23:58:26,221 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-28 23:58:26,221 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 14:10:55,179 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-29 14:10:55,179 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 14:14:11,507 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-29 14:14:11,508 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 14:17:09,222 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-29 14:17:09,222 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 14:19:05,005 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-29 14:19:05,006 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 16:43:03,162 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
2026-05-29 16:43:03,163 | text_processor | INFO | dominant=ID detected=['ID', 'EN'] segments=4
2026-05-29 16:44:22,745 | text_processor | INFO | Input: "Aku mau book flight ke Jedah minggu depan, bisa bantu schedule?"
